geography,share_of_enterprises_using_ai_pct,year,source,source_url,trust_tier
Denmark,42.0,2025,Eurostat isoc_eb_ai,https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
EU-27 average,20.0,2025,Eurostat isoc_eb_ai,https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
EU-27 average,13.5,2024,Eurostat isoc_eb_ai,https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
Romania,5.2,2025,Eurostat isoc_eb_ai,https://ec.europa.eu/eurostat/databrowser/product/view/isoc_eb_ai,T1
