geography,share_of_businesses_using_ai_pct,window,source,source_url,trust_tier
Colorado,23.2,2026-01-15 to 2026-03-26 (avg of 6 releases),US Census Bureau BTOS,https://www.census.gov/hfp/btos/,T1
Arizona,22.9,2026-01-15 to 2026-03-26 (avg of 6 releases),US Census Bureau BTOS,https://www.census.gov/hfp/btos/,T1
District of Columbia,22.5,2026-01-15 to 2026-03-26 (avg of 6 releases),US Census Bureau BTOS,https://www.census.gov/hfp/btos/,T1
Oregon,21.1,2026-01-15 to 2026-03-26 (avg of 6 releases),US Census Bureau BTOS,https://www.census.gov/hfp/btos/,T1
Utah,21.1,2026-01-15 to 2026-03-26 (avg of 6 releases),US Census Bureau BTOS,https://www.census.gov/hfp/btos/,T1
California,19.5,2026-01-15 to 2026-03-26 (avg of 6 releases),US Census Bureau BTOS,https://www.census.gov/hfp/btos/,T1
United States (national avg),18.2,2026-01-15 to 2026-03-26 (avg of 6 releases),US Census Bureau BTOS,https://www.census.gov/hfp/btos/,T1
West Virginia,10.8,2026-01-15 to 2026-03-26 (avg of 6 releases),US Census Bureau BTOS,https://www.census.gov/hfp/btos/,T1
United States (national),3.8,2023-Q4,US Census Bureau BTOS,https://www.census.gov/hfp/btos/,T1
